instance;best;avg;avg.time(s)
c103_21;1953,07;2201,11;1,90
c105_21;2354,86;2408,49;1,96
c204_21;1220,59;1290,64;4,57
r102_21;2188,11;2346,54;2,30
r107_21;1653,35;1840,87;2,27
r205_21;1190,46;1266,26;2,78
r211_21;1001,35;1002,73;4,73
rc101_21;3223,93;3428,89;2,80
rc106_21;2884,42;3124,62;2,14
rc203_21;1182,33;1305,30;2,62
